institution_name,term_year,term_semester,lead_source,stage,event_year,event_month,event_month_name,stage_count
Central Washington University,2025,Fall,Clarity,admits,2024,10,Oct,188
Central Washington University,2025,Fall,Clarity,admits,2024,11,Nov,251
Central Washington University,2025,Fall,Clarity,admits,2024,12,Dec,207
Central Washington University,2025,Fall,Clarity,admits,2025,1,Jan,150
Central Washington University,2025,Fall,Clarity,admits,2025,2,Feb,155
Central Washington University,2025,Fall,Clarity,admits,2025,3,Mar,89
Central Washington University,2025,Fall,Clarity,admits,2025,4,Apr,56
Central Washington University,2025,Fall,Clarity,admits,2025,5,May,44
Central Washington University,2025,Fall,Clarity,admits,2025,6,Jun,33
Central Washington University,2025,Fall,Clarity,admits,2025,7,Jul,40
Central Washington University,2025,Fall,Clarity,admits,2025,8,Aug,31
Central Washington University,2025,Fall,Clarity,admits,2025,9,Sep,15
Central Washington University,2025,Fall,Clarity,admits,2025,10,Oct,3
Central Washington University,2025,Fall,Clarity,admits,2025,11,Nov,2
Central Washington University,2025,Fall,Clarity,admits,2025,12,Dec,5
Central Washington University,2025,Fall,Clarity,admits,2026,1,Jan,3
Central Washington University,2025,Fall,Clarity,admits,2026,2,Feb,1
Central Washington University,2026,Fall,Clarity,admits,2023,10,Oct,2
Central Washington University,2026,Fall,Clarity,admits,2023,11,Nov,6
Central Washington University,2026,Fall,Clarity,admits,2023,12,Dec,3
Central Washington University,2026,Fall,Clarity,admits,2024,1,Jan,2
Central Washington University,2026,Fall,Clarity,admits,2024,2,Feb,3
Central Washington University,2026,Fall,Clarity,admits,2024,6,Jun,1
Central Washington University,2026,Fall,Clarity,admits,2024,7,Jul,1
Central Washington University,2026,Fall,Clarity,admits,2024,8,Aug,1
Central Washington University,2026,Fall,Clarity,admits,2024,10,Oct,1
Central Washington University,2026,Fall,Clarity,admits,2024,11,Nov,5
Central Washington University,2026,Fall,Clarity,admits,2024,12,Dec,4
Central Washington University,2026,Fall,Clarity,admits,2025,1,Jan,2
Central Washington University,2026,Fall,Clarity,admits,2025,2,Feb,5
Central Washington University,2026,Fall,Clarity,admits,2025,3,Mar,2
Central Washington University,2026,Fall,Clarity,admits,2025,5,May,1
Central Washington University,2026,Fall,Clarity,admits,2025,6,Jun,4
Central Washington University,2026,Fall,Clarity,admits,2025,7,Jul,20
Central Washington University,2026,Fall,Clarity,admits,2025,8,Aug,20
Central Washington University,2026,Fall,Clarity,admits,2025,9,Sep,102
Central Washington University,2026,Fall,Clarity,admits,2025,10,Oct,175
Central Washington University,2026,Fall,Clarity,admits,2025,11,Nov,274
Central Washington University,2026,Fall,Clarity,admits,2025,12,Dec,169
Central Washington University,2026,Fall,Clarity,admits,2026,1,Jan,126
Central Washington University,2026,Fall,Clarity,admits,2026,2,Feb,107
Central Washington University,2026,Fall,Clarity,admits,2026,3,Mar,31
Central Washington University,2024,Fall,Clarity,app_starts,2018,11,Nov,2
Central Washington University,2024,Fall,Clarity,app_starts,2019,2,Feb,1
Central Washington University,2024,Fall,Clarity,app_starts,2019,7,Jul,1
Central Washington University,2024,Fall,Clarity,app_starts,2019,9,Sep,5
Central Washington University,2024,Fall,Clarity,app_starts,2019,10,Oct,1
Central Washington University,2024,Fall,Clarity,app_starts,2019,11,Nov,4
Central Washington University,2024,Fall,Clarity,app_starts,2019,12,Dec,2
Central Washington University,2024,Fall,Clarity,app_starts,2020,1,Jan,1
Central Washington University,2024,Fall,Clarity,app_starts,2020,4,Apr,2
Central Washington University,2024,Fall,Clarity,app_starts,2020,9,Sep,3
Central Washington University,2024,Fall,Clarity,app_starts,2020,10,Oct,6
Central Washington University,2024,Fall,Clarity,app_starts,2020,11,Nov,3
Central Washington University,2024,Fall,Clarity,app_starts,2021,1,Jan,3
Central Washington University,2024,Fall,Clarity,app_starts,2021,3,Mar,1
Central Washington University,2024,Fall,Clarity,app_starts,2021,4,Apr,1
Central Washington University,2024,Fall,Clarity,app_starts,2021,9,Sep,2
Central Washington University,2024,Fall,Clarity,app_starts,2021,10,Oct,3
Central Washington University,2024,Fall,Clarity,app_starts,2021,11,Nov,4
Central Washington University,2024,Fall,Clarity,app_starts,2021,12,Dec,4
Central Washington University,2024,Fall,Clarity,app_starts,2022,1,Jan,6
Central Washington University,2024,Fall,Clarity,app_starts,2022,2,Feb,1
Central Washington University,2024,Fall,Clarity,app_starts,2022,3,Mar,2
