institution_name,term_year,term_semester,student_type,is_international,origin_source_first,student_state,program_level,program_name,event_year,event_month,event_month_name,total_prospects,total_inquiries,total_app_starts,total_app_submits,total_admits,total_deposits,total_net_deposits,total_enrolled
Central Washington University,2024,Fall,Transfer,false,Application,WA,,interdisciplinary social science,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Application,WA,,business administration bsba business,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,,,elementary education baed,2018,10,Oct,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,business administration bsba business,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,english and creative writing,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,industrial engineering technology,2018,10,Oct,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,computer science,2018,10,Oct,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Transfer Recruitment,WA,,social services,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,psychology,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,WA,,social services,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,,,pre medicine,2018,10,Oct,0,0,1,1,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,College Fair,AZ,,history,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,,,public health population health,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,College Fair,,,,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,,,,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,early childhood education,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,elementary education baed,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,UT,,english and creative writing,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,WA,,child development and family science child development,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,WA,,exploring majors,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,,,elementary education baed,2018,10,Oct,0,2,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Application,WA,,sociology,2018,10,Oct,1,0,1,1,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,aviation pilot,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,WA,,pre physical therapy,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Preview Days,,,,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Cappex,WA,,psychology,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,biology ecology and evolutionary biology,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,WA,,exploring majors,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,,,,,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,RFI Forms - All,,,sport management sport coaching,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,High School Visit,,,,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Transcript,NM,,aviation management aviation management,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Cappex,OR,,aviation pilot,2018,10,Oct,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,High School Visit,WA,,food science and nutrition dietetics,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Transfer Recruitment,WA,,psychology,2018,10,Oct,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,OR,,,2018,11,Nov,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,communication,2018,11,Nov,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,business administration bsba business,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Application,WA,,biology biomedical science,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,,,,2018,11,Nov,3,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Readmit,false,Royall,WA,,information technology management administrative management,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,ems paramedicine,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,biology biomedical science,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Adult,false,Royall,,,,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,computer science,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,ID,,,2018,11,Nov,2,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,psychology,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Royall,WA,,biology,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,information technology management bas administrative management,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,College Fair,WA,,,2018,11,Nov,0,2,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,High School Visit,,,psychology,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,Cappex,WA,,english and creative writing,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,exploring majors,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,Transfer,false,RFI Forms - All,WA,,interdisciplinary social science,2018,11,Nov,0,1,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Transcript,WA,,business administration bsba marketing management,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,aviation pilot,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,mathematics secondary education,2018,11,Nov,1,0,0,0,0,0,0,0
Central Washington University,2024,Fall,First Year,false,Royall,WA,,electrical engineering technology,2018,11,Nov,1,0,0,0,0,0,0,0
