institution_name,term_year,term_semester,student_type,is_international,stage,event_year,event_month,event_month_name,stage_count
Central Washington University,2025,Fall,First Year,false,admits,2024,12,Dec,740
Central Washington University,2025,Fall,,false,admits,2024,12,Dec,465
Central Washington University,2025,Fall,Transfer,false,admits,2024,12,Dec,8
Central Washington University,2025,Summer,,false,admits,2024,12,Dec,1
Central Washington University,2025,Spring,First Year,false,admits,2024,12,Dec,2
Central Washington University,2025,Fall,First Year,false,admits,2025,1,Jan,405
Central Washington University,2025,Fall,,false,admits,2025,1,Jan,323
Central Washington University,2025,Fall,Transfer,false,admits,2025,1,Jan,4
Central Washington University,2025,Spring,First Year,false,admits,2025,1,Jan,4
Central Washington University,2025,Spring,,false,admits,2025,1,Jan,1
Central Washington University,2025,Summer,First Year,false,admits,2025,1,Jan,2
Central Washington University,2025,Fall,First Year,false,admits,2025,2,Feb,293
Central Washington University,2025,Fall,,false,admits,2025,2,Feb,235
Central Washington University,2025,Fall,Transfer,false,admits,2025,2,Feb,5
Central Washington University,2025,Spring,First Year,false,admits,2025,2,Feb,3
Central Washington University,2025,Fall,First Year,false,admits,2025,3,Mar,138
Central Washington University,2025,Fall,,false,admits,2025,3,Mar,115
Central Washington University,2025,Summer,First Year,false,admits,2025,3,Mar,2
Central Washington University,2025,Fall,Transfer,false,admits,2025,3,Mar,2
Central Washington University,2025,Fall,First Year,false,admits,2025,4,Apr,64
Central Washington University,2025,Fall,,false,admits,2025,4,Apr,82
Central Washington University,2025,Summer,First Year,false,admits,2025,4,Apr,1
Central Washington University,2025,Fall,Transfer,false,admits,2025,4,Apr,2
Central Washington University,2025,Fall,First Year,false,admits,2025,5,May,31
Central Washington University,2025,Fall,,false,admits,2025,5,May,49
Central Washington University,2025,Fall,Transfer,false,admits,2025,5,May,1
Central Washington University,2025,Spring,First Year,false,admits,2025,5,May,2
Central Washington University,2025,Fall,First Year,false,admits,2025,6,Jun,16
Central Washington University,2025,Fall,,false,admits,2025,6,Jun,35
Central Washington University,2025,Fall,First Year,false,admits,2025,7,Jul,22
Central Washington University,2025,Fall,,false,admits,2025,7,Jul,25
Central Washington University,2025,Fall,Transfer,false,admits,2025,7,Jul,1
Central Washington University,2025,Fall,,false,admits,2025,8,Aug,15
Central Washington University,2025,Fall,First Year,false,admits,2025,8,Aug,8
Central Washington University,2025,Fall,Transfer,false,admits,2025,8,Aug,1
Central Washington University,2025,Fall,First Year,false,admits,2025,9,Sep,18
Central Washington University,2025,Fall,,false,admits,2025,9,Sep,5
